date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
01/01/1999,0,2,1,2,2,1,1,1
02/01/1999,1,2,2,3,3,2,2,1
03/01/1999,2,2,0,0,1,1,1,1
04/01/1999,1,2,3,2,3,2,1,2
05/01/1999,3,3,2,3,1,1,2,1
06/01/1999,1,0,3,1,3,3,3,2
07/01/1999,1,0,1,2,3,3,2,2
08/01/1999,3,2,3,4,3,3,3,3
09/01/1999,3,2,3,1,1,1,1,2
10/01/1999,2,0,2,3,1,1,1,1
11/01/1999,1,1,1,2,1,2,2,1
12/01/1999,1,0,1,1,3,1,3,2
13/01/1999,2,2,1,4,4,5,5,6
14/01/1999,2,2,5,4,5,4,3,4
15/01/1999,3,5,3,4,3,3,3,2
16/01/1999,2,2,3,3,1,2,1,1
17/01/1999,2,2,2,1,2,2,1,1
18/01/1999,0,0,0,1,1,2,3,3
19/01/1999,1,1,1,3,0,2,2,1
20/01/1999,1,0,0,1,2,3,3,2
21/01/1999,1,2,1,3,2,1,1,0
22/01/1999,1,1,0,1,3,4,3,3
23/01/1999,2,3,3,3,3,4,4,4
24/01/1999,4,3,3,3,2,3,3,1
25/01/1999,3,3,2,3,1,2,2,2
26/01/1999,2,0,1,2,1,1,1,2
27/01/1999,2,3,2,2,3,3,2,1
28/01/1999,1,1,3,2,3,3,2,2
29/01/1999,1,2,2,3,2,2,2,2
30/01/1999,2,1,2,2,1,1,1,1
31/01/1999,0,2,0,1,1,1,1,1
01/02/1999,0,0,0,0,0,1,1,0
02/02/1999,0,0,0,0,0,1,1,1
03/02/1999,0,0,2,2,2,2,2,2
04/02/1999,0,2,2,1,2,3,3,2
05/02/1999,2,1,1,2,3,3,3,2
06/02/1999,1,3,3,3,2,4,3,2
07/02/1999,1,3,3,4,3,3,2,3
08/02/1999,2,1,1,2,2,1,2,1
09/02/1999,1,1,1,0,1,1,1,1
10/02/1999,1,1,2,0,1,1,2,2
11/02/1999,3,2,3,3,4,4,4,3
12/02/1999,4,4,4,4,3,4,4,2
13/02/1999,1,2,3,2,1,2,2,2
14/02/1999,1,1,2,3,3,3,2,2
15/02/1999,3,3,3,3,3,3,3,2
16/02/1999,1,0,0,2,1,1,1,1
17/02/1999,0,2,3,4,5,3,2,2
18/02/1999,4,6,5,6,7,5,4,4
19/02/1999,5,5,5,5,5,4,3,3
20/02/1999,1,0,0,0,2,2,3,2
21/02/1999,0,1,0,1,2,2,2,3
22/02/1999,2,1,2,1,2,0,0,2
23/02/1999,2,2,2,3,3,2,2,0
24/02/1999,0,2,3,4,4,3,2,0
25/02/1999,0,4,1,3,1,2,1,1
